Offset(P)    #Ptr   #Hnd Access Name
0x01e61440      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\reflow.api
0x01e619a8      3      0 RWD--- \Device\HarddiskVolume1\$ConvertToNonresident
0x01e623f8      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\jquery.cookie[1].js
0x01e62578      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\mof
0x01e628d0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\SaveAsRTF.api
0x01e64bc0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e65b98      1      1 R--r-- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents\Merkblatt_ameisen.pdf
0x01e6c210      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Application Data\Microsoft\Internet Explorer\MSIMGSIZ.DAT
0x01e6c740      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\cmd.exe
0x01e6c910      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\sylfaen.ttf
0x01e6cd18      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\3114[1].png
0x01e6d0e0      2      1 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Resource\Font
0x01e6d178      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\AGM.dll
0x01e6d598      2      0 RWD--- \Device\HarddiskVolume1\$SetEndOfFileInfo
0x01e6f128      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\k_16[1].png
0x01e70dd0      2      1 ------ \Device\NamedPipe\lsass
0x01e76e58      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e771a0      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\addyn_3[7]
0x01e77798      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e77830      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\times.ttf
0x01e77b88      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3r.dll
0x01e77c88      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\lsans.ttf
0x01e77d60      2      1 ------ \Device\Afd\Endpoint
0x01e78400      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\Cache\_CACHE_003_
0x01e784c8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\promotion\promodb.lck
0x01e7b5b0      2      2 ------ \Device\NamedPipe\Win32Pipes.00000fa8.00000002
0x01e7da38      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\nssckbi.dll
0x01e7e178      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e7e2b0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\DigSig.api
0x01e7e578      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.5512.Policy
0x01e7eaf8      1      1 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\ega.cpi
0x01e7ee00      3      1 -W-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\bittorrent_errors.log
0x01e7f890      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x01e7fd90      3      1 ------ \Device\NamedPipe\net\NtControlPipe8
0x01e7fe28      3      1 RW-r-- \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Network\Downloader\qmgr1.dat
0x01e80858      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01e83f90      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\bin\jp2ssv.dll
0x01e89200      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Common Files\Microsoft Shared\Office10\RICHED20.DLL
0x01e893b0      2      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents\Merkblatt_ameisen.pdf
0x01e8e858      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ipconfig.exe
0x01e8f188      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\regutils.dll
0x01e92ba0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\lib\security\javaws.policy
0x01e94290      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\Microsoft\SystemCertificates\My
0x01e945c8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\History\History.IE5\MSHist012010050520100506\index.dat
0x01e94660      3      3 ------ \Device\NamedPipe\Win32Pipes.00000fa8.00000001
0x01e94780      1      0 -W---- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Cookies\peter haag@doubleclick[1].txt
0x01e95a18      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\java.exe
0x01e97ab8      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Winamp\Winamp.ini
0x01e97bd0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e97f90      3      2 ------ \Device\Afd\Endpoint
0x01e99028      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\jscript.dll
0x01e99140      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e99df8      2      2 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Desktop
0x01e9a380      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e9b388      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e9d028      1      1 RW-r-- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\Microsoft\Templates\Normal.dot
0x01e9d140      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\BIB.dll
0x01e9dd18      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\lib\security\cacerts
0x01e9e840      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e9ea18      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\addyn_3[4]
0x01ea4250      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\base_stylesIE_v2[1].css
0x01ea45a8      2      1 ------ \Device\NamedPipe\trkwks
0x01ea4750      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\nssdbm3.dll
0x01ea6028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01ea6f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01eb1028      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\SendMail.api
0x01eb1278      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\places.sqlite
0x01eb2028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01eb2658      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\rasadhlp.dll
0x01eb27d8      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents
0x01eb4880      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.2600.5512_x-ww_dfb54e0c
0x01eb5300      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\comic.ttf
0x01eb5490      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\arialbd.ttf
0x01eb5630      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents\desktop.ini
0x01eb5808      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\georgia.ttf
0x01eb5c58      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\arialbi.ttf
0x01eb7cd8      3      1 R--rw- \Device\HarddiskVolume1\Program Files\Java\jre6\lib\fonts\LucidaSansRegular.ttf
0x01eb8e80      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\ga[1].js
0x01eb8f90      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\History\History.IE5\MSHist012010050520100506\index.dat
0x01eb9510      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\timesbd.ttf
0x01eb9c00      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\tahomabd.ttf
0x01eba3c0      2      1 ------ \Device\Afd\Endpoint
0x01ebc670      1      0 -W---- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Cookies\peter haag@wt.raiffeisen[2].txt
0x01ebcef8      1      0 -W---- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Cookies\peter haag@tb.raiffeisendirect[1].txt
0x01ebcf90      3      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\chrome\toolkit.jar
0x01ebd6a8      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\padlock[1].gif
0x01ec01c0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83.Manifest
0x01ec0258      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\Cache\_CACHE_MAP_
0x01ec06a0      1      1 ------ \Device\NamedPipe\lsass
0x01ec0d50      2      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\promotion\promodb.lck
0x01ec0e20      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\c[1].gif
0x01ec1028      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\Cache\_CACHE_001_
0x01ec10f8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\sunmscapi.dll
0x01ec11e0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01ec1c98      3      1 R--rw- \Device\HarddiskVolume1\Program Files\Java\jre6\lib\ext\sunmscapi.jar
0x01ec1d30      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\management.dll
0x01ec1ef8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\Cache\_CACHE_002_
0x01ec6200      3      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\cookies.sqlite
0x01ec6298      3      1 R--rw- \Device\HarddiskVolume1\Program Files\Java\jre6\lib\jce.jar
0x01ec63c8      3      1 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\hnetcfg.dll
0x01ec64f8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\sensapi.dll
0x01ec6a18      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\palabi.ttf
0x01ec6b48      3      1 ------ \Device\Afd\Endpoint
0x01ec7538      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\jquery.url.packed[1].js
0x01edb358      1      1 ------ \Device\Afd\Endpoint
0x01edcf90      3      1 ------ \Device\Afd\Endpoint
0x01edd5f8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01edea28      1      0 RW-rw- \Device\HarddiskVolume1\WINDOWS\0.log
0x01eded18      1      1 ------ \Device\NamedPipe\net\NtControlPipe4
0x01edf6d0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01ef8700      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\lib\zi\GMT
0x01ef8d20      3      1 ------ \Device\NamedPipe\net\NtControlPipe5
0x01ef9cd0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01efa5b0      1      1 ------ \Device\NamedPipe\net\NtControlPipe9
0x01efb220      2      1 ------ \Device\NamedPipe\epmapper
0x01efb320      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01efb9d8      1      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x01efba70      2      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x01efd660      2      1 ------ \Device\NamedPipe\winlogonrpc
0x01efdbd0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\BOOKOSI.TTF
0x01efdf90      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents
0x01efe168      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01efeb70      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\mail[1].&am=!Y_6TWUBke-eRZdzVEfQ0WuglnwA6guHkSAtSnrecXEHqVtsb&fri
0x01eff4e0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01eff8f0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01f00bd0      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\close_box[1].gif
0x01f00c68      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\show_ads[2].js
0x01f00d00      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\mail[1]
0x01f00f90      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\addyn_3[2]
0x01f01510      1      1 ------ \Device\NamedPipe\net\NtControlPipe6
0x01f01608      3      1 ------ \Device\NamedPipe\net\NtControlPipe0
0x01f01b70      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\dbghelp.dll
0x01f01f90      1      1 R--r-d \Device\HarddiskVolume1\PROGRA~1\COMMON~1\MICROS~1\SMARTT~1\Lists\STOCKS.DAT
0x01f024d0      1      1 ------ \Device\NamedPipe\net\NtControlPipe5
0x01f031f8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\History\History.IE5\index.dat
0x01f04b50      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\BOOKOS.TTF
0x01f04f90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01f0d390      1      1 ------ \Device\Afd\AsyncConnectHlp
0x01f0e8a8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f0ef90      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\blank[1].gif
0x01f10840      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f10b68      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-368-0
0x01f10f90      2      1 ------ \Device\Afd\Endpoint
0x01f11418      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f13a90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Java\jre6\lib\ext\meta-index
0x01f17598      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01f17660      3      1 RWD--- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\places.sqlite-stmtjrnl
0x01f17770      1      0 RWD--- \Device\HarddiskVolume1\$ConvertToNonresident
0x01f17940      3      1 RW---- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\places.sqlite-journal
0x01f18f90      1      0 R--rwd \Device\HarddiskVolume1\PROGRA~1\COMMON~1\MICROS~1\SMARTT~1\Lists\STOCKS.DAT
0x01f19028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f19b68      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\ReadOutLoud.api
0x01f1b7c8      3      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\chrome\classic.jar
0x01f1c3d8      3      1 ------ \Device\NamedPipe\net\NtControlPipe4
0x01f1e9e8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f1f450      1      1 ------ \Device\Afd\Endpoint
0x01f20f90      1      1 ------ \Device\NamedPipe\net\NtControlPipe0
0x01f22180      2      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\config\AppEvent.Evt
0x01f22330      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x01f22e18      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f24dc0      2      1 ------ \Device\Afd\Endpoint
0x01f2a4d8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wsock32.dll
0x01f2c288      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01f2c470      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x01f2df90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\LimeWire\LimeWire.exe
0x01f2fb70      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\mail[2]
0x01f30f90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01f31098      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\GARABD.TTF
0x01f31810      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\ariblk.ttf
0x01f31a48      2      2 ------ \Device\NamedPipe\Win32Pipes.00000fa8.00000001
0x01f31c80      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\ARIALN.TTF
